"","logFC","logCPM","F","PValue","FDR"
"rno-miR-3596a",-0.155595139074977,11.7038313759382,2.75813971003564,0.121083349336701,0.681007750079893
"rno-miR-34b-5p",-0.841310689328812,2.7406025491218,4.8611272664627,0.120006210141814,0.681007750079893
"rno-miR-195-3p",0.313806192192089,5.34450171970725,2.73664002457476,0.122409914311596,0.681274488616953
"rno-miR-3596d",-0.137765363764975,14.2613737100071,2.68067454470948,0.125948234071905,0.691430101333519
"rno-miR-425-5p",-0.222024752357398,7.7195405535526,2.69130717443393,0.125266370451413,0.691430101333519
"rno-miR-667-3p",1.05323846324995,6.10450675550903,3.29879557280337,0.127823019222675,0.692303198071802
"rno-miR-301a-5p",0.474022596735629,4.02717131380529,3.73431193075992,0.127243131834705,0.692303198071802
"rno-miR-27a-5p",0.583032355429664,3.44475282808456,5.26052665788762,0.138496561184103,0.697062687532828
"rno-miR-485-5p",0.396244129581849,7.78750123134612,2.61075334724673,0.13993079972778,0.697062687532828
"rno-miR-299b-5p",0.308440383389019,5.10718050122125,3.29679926469304,0.135327310291825,0.697062687532828
"rno-miR-27a-3p",0.30370964815867,8.0113098342866,2.54732202267569,0.136822068157809,0.697062687532828
"rno-miR-410-3p",0.301292501504126,8.1612369714607,2.50944038762428,0.139898960538192,0.697062687532828
"rno-miR-344b-3p",0.271621673682264,5.44143198449213,2.85109056942759,0.137339027243378,0.697062687532828
"rno-miR-24-2-5p",0.264750970305284,6.3680070904626,2.61918248640816,0.129983106032333,0.697062687532828
"rno-miR-127-5p",0.235145937493194,9.45595720785712,2.53500073746395,0.1359198339907,0.697062687532828
"rno-miR-450a-5p",0.223543922608564,6.76461273037825,2.52652672918474,0.136370486061748,0.697062687532828
"rno-miR-369-5p",0.202766801679758,8.74593373496287,2.48099599082217,0.139652211764772,0.697062687532828
"rno-miR-9b-3p",-0.100948239095277,17.7445714488275,2.5995047780329,0.131308016839807,0.697062687532828
"rno-miR-9a-5p",-0.101150626278285,17.748086383839,2.60956391035603,0.130628647653288,0.697062687532828
"rno-miR-598-3p",-0.166246605674569,9.84648948489483,2.49572563021004,0.138579882220292,0.697062687532828
"rno-miR-666-5p",0.631930940007128,3.23267066728548,3.58465420021013,0.142480693198867,0.705410548536722
"rno-miR-344i",1.12256764827609,2.08080357729114,8.24508146513262,0.146846868787186,0.718191257688507
"rno-miR-299b-3p",0.900851004807807,2.4508000468424,4.377140098613,0.149511934686083,0.718191257688507
"rno-miR-381-3p",0.540099914984459,4.06904685668306,2.44950153442664,0.148861691664162,0.718191257688507
"rno-miR-126a-3p",0.151967415918642,12.0719089817021,2.37392522300305,0.147766649474279,0.718191257688507
"rno-miR-211-5p",-0.81616673829405,2.65989915080413,3.7107661404371,0.146086613449405,0.718191257688507
"rno-miR-10b-5p",1.31008473704022,5.47207442465121,2.8137367711592,0.155436901577966,0.730514632872313
"rno-miR-134-3p",0.625847874261148,3.18202824448307,6.37507619550353,0.155104148850021,0.730514632872313
"rno-miR-346",0.272421035927844,5.31986773434401,3.02555373644797,0.153844835539967,0.730514632872313
"rno-miR-935",-0.24597806777462,5.68261403866056,2.27615460595193,0.155698286064483,0.730514632872313
"rno-miR-503-3p",1.10664586998349,2.04607701211507,7.72472380227277,0.16076340270928,0.74991945656872
"rno-miR-106b-5p",-0.314912456184216,4.85761248911082,3.10608509294508,0.164131671877915,0.761231374744123
"rno-miR-496-3p",0.266693224954244,6.4264859770949,2.14228637721388,0.167448782940784,0.770482361058225
"rno-miR-181d-5p",0.202878135044725,7.32785555066033,2.1359120143583,0.168035806129179,0.770482361058225
"rno-miR-216a-3p",2.1788122679627,1.23641894049063,9.15950880899037,0.169188266792902,0.771383792665941
"rno-miR-365-3p",-0.386263922396088,4.23567795201917,3.3297482551486,0.17714490253847,0.803123237913174
"rno-miR-412-3p",0.72540884396325,2.7382266486079,4.35466777050883,0.178325405354592,0.803958671067911
"novel_125",2.13359469924399,1.22895147356768,6.0316568030017,0.179760608738035,0.805926729175526
