"","miRNA_ID","logFC","logCPM","F","PValue","FDR","hip_Control_1.x","hip_Control_2.x","hip_Control_3.x","hip_PPCE_1.x","hip_PPCE_2.x","hip_PPCE_3.x","hip_Control_1.y","hip_Control_2.y","hip_Control_3.y","hip_PPCE_1.y","hip_PPCE_2.y","hip_PPCE_3.y"
"39","rno-miR-19b-3p",-0.742558822957767,4.15716194278593,10.5638497679853,0.012841488149852,0.285009180784678,122,146,123,88,70,100,17.9467187474929,23.4194045247252,18.2061361285826,10.9882595262477,9.08151099704419,15.4048247972025
"40","rno-miR-374-3p",-0.382736208585142,7.18226445223323,7.97109148528282,0.0145773303422539,0.286924526492656,1057,1074,1071,1009,1000,762,155.489194394262,172.276989449006,158.526599948878,125.990384795272,129.735871386346,117.384764954683
"41","rno-miR-20a-5p",-0.465733979212936,6.10846296720584,8.01414168951879,0.0143676495868262,0.286924526492656,529,495,513,399,390,444,77.8181493231454,79.4014057516369,75.9329092192104,49.8217676246912,50.5969898406748,68.3974220995791
"42","rno-miR-409a-5p",0.397352539112621,8.49520796707846,7.80489579718722,0.0154211655874568,0.289415828583201,2206,1936,1985,2891,2874,3183,324.511979975158,310.547720273069,293.814473294605,360.989298754342,372.860894364357,490.335573294956
"43","rno-miR-323-3p",0.342420522843828,9.56059430925645,7.87366778835561,0.0150652228646506,0.289415828583201,5136,3596,4456,6500,6712,5483,755.527438419045,576.823141581589,659.565386902147,811.632805916023,870.787168745152,844.646543630614
"44","rno-miR-495",0.392239711137358,9.30987173691042,7.61471945362202,0.016457966711464,0.30185407127617,4142,3148,3559,5593,4638,5550,609.305811902587,504.96085920435,526.793808793703,698.378812844356,601.714971489871,854.967776244739
"45","rno-miR-668",0.521963939553129,5.41921019271432,7.10935536977742,0.019636046682318,0.335350514991916,248,187,229,289,387,377,36.4818545031003,29.9960866172851,33.8959770198814,36.0864432168816,50.2077822265158,58.0761894854535
"46","rno-miR-411-5p",0.24680025886745,11.7558174597847,7.08220669213808,0.0198262554275262,0.335350514991916,21454,20095,20956,29834,27129,26042,3155.97462302223,3223.37625975585,3101.8519407364,3725.26971256902,3519.60445484017,4011.72447368748
"47","rno-miR-146b-5p",-0.329097995950384,11.7245174025009,7.07317495317719,0.0199773150018229,0.335350514991916,22117,25259,26955,27492,23063,16695,3253.50474211722,4051.71738965777,3989.80812476377,3432.8321692682,2992.09840178329,2571.83549989296
"48","rno-miR-219a-5p",-0.504317509733797,6.42072209996085,7.14951143522917,0.0193586209339666,0.335350514991916,625,669,643,711,518,335,91.940157517894,107.31220292494,95.1751669160863,88.7801423086603,67.203181378127,51.6061630706284
"49","rno-miR-1-3p",-0.732219039914291,4.0107827655881,7.52272646369928,0.0203620510961634,0.335350514991916,90,148,108,63,82,86,13.2393826825767,23.7402182853379,15.9858756250969,7.86659488810914,10.6383414536803,13.2481493255942
"50","rno-miR-3571",-0.72821007822797,4.00857305091912,7.40958429986276,0.0211486109577811,0.341338580858587,90,148,107,63,82,86,13.2393826825767,23.7402182853379,15.8378582581979,7.86659488810914,10.6383414536803,13.2481493255942
