"","miRNA_ID","hip_Control_1.x","hip_Control_2.x","hip_Control_3.x","hip_PPCE_1.x","hip_PPCE_2.x","hip_PPCE_3.x","hip_Control_1.y","hip_Control_2.y","hip_Control_3.y","hip_PPCE_1.y","hip_PPCE_2.y","hip_PPCE_3.y"
"42","rno-miR-376c-3p",157,156,151,164,193,188,23.095367568495,25.0234733277886,22.3506224017559,20.4781200261889,25.0390231775647,28.9610706187407
"43","rno-miR-376c-5p",6,1,2,0,3,1,0.882625512171782,0.160406880306337,0.296034733798091,0,0.389207614159037,0.154048247972025
"44","rno-miR-377-3p",33,36,29,36,35,26,4.8544403169448,5.77464769102814,4.29250364007232,4.49519707891951,4.5407554985221,4.00525444727265
"45","rno-miR-377-5p",4,7,13,16,13,5,0.588417008114521,1.12284816214436,1.92422576968759,1.99786536840867,1.68656632802249,0.770241239860125
"46","rno-miR-379-3p",371,308,316,419,432,422,54.5756775026218,49.4053191343519,46.7734879400984,52.3190993352021,56.0458964389013,65.0083606441946
"47","rno-miR-379-5p",29127,27950,32441,41743,34205,38107,4284.70554883792,4483.37230456212,4801.83139957194,5212.3058795927,4437.61548076995,5870.31658546996
"48","rno-miR-380-3p",818,618,605,949,768,846,120.33127815942,99.1314520293164,89.5505069739226,118.498389663739,99.6371492247134,130.324817784333
"49","rno-miR-380-5p",1141,963,911,1386,1295,1959,167.845951564667,154.471825735003,134.843821245031,173.065087538401,168.007953445318,301.780517777197
"50","rno-miR-381-3p",101,75,62,81,120,175,14.8575294548917,12.0305160229753,9.17707674774083,10.1141934275689,15.5683045663615,26.9584433951044
"51","rno-miR-381-5p",2,1,3,4,4,2,0.294208504057261,0.160406880306337,0.444052100697137,0.499466342102168,0.518943485545383,0.30809649594405
"52","rno-miR-382-3p",2946,2224,2449,2053,2108,3422,433.369126476345,356.744901801294,362.494531535763,256.351100083938,273.483216882417,527.15310456027
"53","rno-miR-382-5p",3392,2489,3209,4042,3432,3369,498.977622881114,399.252725082473,474.987730379037,504.710738694241,445.253510597938,518.988547417753
"54","rno-miR-409a-3p",2895,2062,2744,5544,4346,2947,425.866809622885,330.758987191667,406.159654770981,692.260350153605,563.832097045058,453.980186773558
"55","rno-miR-409a-5p",2206,1936,1985,2891,2874,3183,324.511979975158,310.547720273069,293.814473294605,360.989298754342,372.860894364357,490.335573294956
"56","rno-miR-410-3p",1860,1599,1579,2170,1903,2752,273.613908773252,256.490601609833,233.719422333593,270.960490590426,246.887363248216,423.940778419013
"57","rno-miR-410-5p",9,3,6,7,12,8,1.32393826825767,0.481220640919012,0.888104201394273,0.874066098678794,1.55683045663615,1.2323859837762
"58","rno-miR-411-3p",1721,1329,1551,3096,2594,1428,253.166417741273,213.180743927122,229.57493606042,386.586948787078,336.534850376181,219.980898104052
"59","rno-miR-411-5p",21454,20095,20956,29834,27129,26042,3155.97462302223,3223.37625975585,3101.8519407364,3725.26971256902,3519.60445484017,4011.72447368748
"60","rno-miR-412-3p",31,23,15,56,53,24,4.56023181288754,3.68935824704576,2.22026050348568,6.99252878943035,6.87600118347632,3.6971579513286
"61","rno-miR-412-5p",218,119,127,450,436,208,32.0687269422414,19.0884187564541,18.7982055961788,56.1899634864939,56.5648399244467,32.0420355781812
"62","rno-miR-431",233,172,176,253,339,627,34.2752907226709,27.58998341269,26.051056574232,31.5912461379621,43.9804603999712,96.5882514784597
"63","rno-miR-433-3p",2657,1737,2317,3634,3319,2424,390.855997640071,278.626751092108,342.956239105089,453.765171799819,430.593357131281,373.412953084189
"64","rno-miR-433-5p",106,69,97,147,143,94,15.5930507150348,11.0680747411373,14.3576845892074,18.3553880722547,18.5522296082474,14.4805353093704
"65","rno-miR-434-3p",14568,13533,14077,17441,14562,16290,2143.01474355309,2170.78631118566,2083.64047383786,2177.79811815098,1889.21375912797,2509.44595946429
"66","rno-miR-434-5p",17774,16920,17153,24306,24206,17444,2614.63097555688,2714.08441478323,2538.94189441933,3035.00722778382,3140.38650277788,2687.21763762401
